,adaptive,alg,best_score,cumulative_partial_fit_calls,train_time,wall_time
0,True,succ-halv-bracket=4,-0.24137023091316223,1,5.575856447219849,0.0
1,True,succ-halv-bracket=4,-0.1274166703224182,2,30.409563541412354,9.5367431640625e-07
2,True,succ-halv-bracket=4,-0.1274166703224182,3,44.92719078063965,9.5367431640625e-07
3,True,succ-halv-bracket=4,-0.1274166703224182,4,51.30761384963989,9.5367431640625e-07
4,True,succ-halv-bracket=4,-0.1274166703224182,5,67.58677792549133,2.1457672119140625e-06
5,True,succ-halv-bracket=4,-0.1274166703224182,6,75.88082432746887,2.1457672119140625e-06
6,True,succ-halv-bracket=4,-0.1274166703224182,7,81.38869547843933,2.1457672119140625e-06
7,True,succ-halv-bracket=4,-0.1274166703224182,8,95.68409729003906,2.1457672119140625e-06
8,True,succ-halv-bracket=4,-0.1274166703224182,9,108.76336169242859,2.1457672119140625e-06
9,True,succ-halv-bracket=4,-0.1274166703224182,10,122.11633515357971,2.86102294921875e-06
10,True,succ-halv-bracket=4,-0.1274166703224182,11,128.32184529304504,2.86102294921875e-06
11,True,succ-halv-bracket=4,-0.1274166703224182,12,141.3822603225708,2.86102294921875e-06
12,True,succ-halv-bracket=4,-0.1274166703224182,13,154.76422429084778,2.86102294921875e-06
13,True,succ-halv-bracket=4,-0.1274166703224182,14,161.35371112823486,2.86102294921875e-06
14,True,succ-halv-bracket=4,-0.1274166703224182,15,167.44817399978638,3.814697265625e-06
15,True,succ-halv-bracket=4,-0.1274166703224182,16,192.559992313385,3.814697265625e-06
16,True,succ-halv-bracket=4,-0.1274166703224182,17,203.18837714195251,3.814697265625e-06
17,True,succ-halv-bracket=4,-0.1274166703224182,18,209.67137789726257,3.814697265625e-06
18,True,succ-halv-bracket=4,-0.1274166703224182,19,233.72128105163574,3.814697265625e-06
19,True,succ-halv-bracket=4,-0.1274166703224182,20,258.67072582244873,3.814697265625e-06
20,True,succ-halv-bracket=4,-0.1274166703224182,21,267.83157181739807,5.0067901611328125e-06
21,True,succ-halv-bracket=4,-0.1274166703224182,22,282.3277609348297,5.0067901611328125e-06
22,True,succ-halv-bracket=4,-0.1274166703224182,23,299.6395847797394,5.0067901611328125e-06
23,True,succ-halv-bracket=4,-0.1274166703224182,24,306.07086873054504,5.0067901611328125e-06
24,True,succ-halv-bracket=4,-0.1274166703224182,25,318.5062024593353,5.9604644775390625e-06
25,True,succ-halv-bracket=4,-0.1274166703224182,26,324.70453000068665,5.9604644775390625e-06
26,True,succ-halv-bracket=4,-0.1274166703224182,27,339.4291741847992,5.9604644775390625e-06
27,True,succ-halv-bracket=4,-0.1274166703224182,28,354.1024820804596,5.9604644775390625e-06
28,True,succ-halv-bracket=4,-0.1274166703224182,29,359.6487846374512,5.9604644775390625e-06
29,True,succ-halv-bracket=4,-0.1274166703224182,30,369.15417671203613,5.9604644775390625e-06
30,True,succ-halv-bracket=4,-0.1274166703224182,31,385.1374795436859,6.9141387939453125e-06
31,True,succ-halv-bracket=4,-0.1274166703224182,32,392.64426851272583,6.9141387939453125e-06
32,True,succ-halv-bracket=4,-0.1274166703224182,33,416.76083278656006,6.9141387939453125e-06
33,True,succ-halv-bracket=4,-0.1274166703224182,34,425.5434627532959,6.9141387939453125e-06
34,True,succ-halv-bracket=4,-0.1274166703224182,35,431.5650827884674,6.9141387939453125e-06
35,True,succ-halv-bracket=4,-0.1274166703224182,36,445.2675726413727,7.867813110351562e-06
36,True,succ-halv-bracket=4,-0.1274166703224182,37,451.9693055152893,7.867813110351562e-06
37,True,succ-halv-bracket=4,-0.1274166703224182,38,476.8468141555786,7.867813110351562e-06
38,True,succ-halv-bracket=4,-0.1274166703224182,39,491.2672793865204,7.867813110351562e-06
39,True,succ-halv-bracket=4,-0.1274166703224182,40,514.6513366699219,7.867813110351562e-06
40,True,succ-halv-bracket=4,-0.1274166703224182,41,523.5687434673309,9.059906005859375e-06
41,True,succ-halv-bracket=4,-0.1274166703224182,42,530.1015894412994,9.059906005859375e-06
42,True,succ-halv-bracket=4,-0.12354721128940582,43,539.5940034389496,9.059906005859375e-06
43,True,succ-halv-bracket=4,-0.12354721128940582,44,562.7657482624054,9.059906005859375e-06
44,True,succ-halv-bracket=4,-0.12354721128940582,45,569.4431772232056,9.059906005859375e-06
45,True,succ-halv-bracket=4,-0.12354721128940582,46,597.5241479873657,1.0013580322265625e-05
46,True,succ-halv-bracket=4,-0.12354721128940582,47,606.6684730052948,1.0013580322265625e-05
47,True,succ-halv-bracket=4,-0.12354721128940582,48,621.6800301074982,1.0013580322265625e-05
48,True,succ-halv-bracket=4,-0.12354721128940582,49,631.2791435718536,1.0013580322265625e-05
49,True,succ-halv-bracket=4,-0.12354721128940582,50,640.7130045890808,1.0013580322265625e-05
50,True,succ-halv-bracket=4,-0.12354721128940582,51,655.9050402641296,1.0967254638671875e-05
51,True,succ-halv-bracket=4,-0.12354721128940582,52,664.6668658256531,1.0967254638671875e-05
52,True,succ-halv-bracket=4,-0.12354721128940582,53,669.8557777404785,1.0967254638671875e-05
53,True,succ-halv-bracket=4,-0.12354721128940582,54,676.1422779560089,1.0967254638671875e-05
54,True,succ-halv-bracket=4,-0.12354721128940582,55,699.6192357540131,1.0967254638671875e-05
55,True,succ-halv-bracket=4,-0.12354721128940582,56,713.7028739452362,1.2159347534179688e-05
56,True,succ-halv-bracket=4,-0.12354721128940582,57,741.97687458992,1.2159347534179688e-05
57,True,succ-halv-bracket=4,-0.12354721128940582,58,749.1974551677704,1.2159347534179688e-05
