,adaptive,alg,best_score,cumulative_partial_fit_calls,train_time,wall_time
0,True,succ-halv-bracket=4,-0.2586178183555603,1,5.148432016372681,0.0
1,True,succ-halv-bracket=4,-0.2586178183555603,2,8.415687561035156,0.0
2,True,succ-halv-bracket=4,-0.2284773886203766,3,12.146484613418579,9.5367431640625e-07
3,True,succ-halv-bracket=4,-0.2284773886203766,4,20.69463562965393,9.5367431640625e-07
4,True,succ-halv-bracket=4,-0.2284773886203766,5,28.176217317581177,9.5367431640625e-07
5,True,succ-halv-bracket=4,-0.14784817397594452,6,41.185741662979126,1.9073486328125e-06
6,True,succ-halv-bracket=4,-0.14784817397594452,7,48.65999960899353,1.9073486328125e-06
7,True,succ-halv-bracket=4,-0.13619165122509003,8,58.00725555419922,1.9073486328125e-06
8,True,succ-halv-bracket=4,-0.13619165122509003,9,61.54022455215454,1.9073486328125e-06
9,True,succ-halv-bracket=4,-0.13619165122509003,10,75.10180950164795,2.86102294921875e-06
10,True,succ-halv-bracket=4,-0.13619165122509003,11,80.36103844642639,2.86102294921875e-06
11,True,succ-halv-bracket=4,-0.13619165122509003,12,83.03398656845093,2.86102294921875e-06
12,True,succ-halv-bracket=4,-0.13619165122509003,13,96.21084785461426,3.814697265625e-06
13,True,succ-halv-bracket=4,-0.13619165122509003,14,100.12625980377197,3.814697265625e-06
14,True,succ-halv-bracket=4,-0.13619165122509003,15,113.90970468521118,3.814697265625e-06
15,True,succ-halv-bracket=4,-0.13619165122509003,16,128.5278308391571,4.76837158203125e-06
16,True,succ-halv-bracket=4,-0.13619165122509003,17,131.75217580795288,4.76837158203125e-06
17,True,succ-halv-bracket=4,-0.13619165122509003,18,135.72377681732178,4.76837158203125e-06
18,True,succ-halv-bracket=4,-0.13619165122509003,19,140.28879475593567,4.76837158203125e-06
19,True,succ-halv-bracket=4,-0.13619165122509003,20,143.91057896614075,5.7220458984375e-06
20,True,succ-halv-bracket=4,-0.13619165122509003,21,147.57410383224487,5.7220458984375e-06
21,True,succ-halv-bracket=4,-0.13619165122509003,22,160.27758359909058,5.7220458984375e-06
22,True,succ-halv-bracket=4,-0.13619165122509003,23,169.32864832878113,6.9141387939453125e-06
23,True,succ-halv-bracket=4,-0.13619165122509003,24,174.25777649879456,6.9141387939453125e-06
24,True,succ-halv-bracket=4,-0.13619165122509003,25,178.1229283809662,6.9141387939453125e-06
25,True,succ-halv-bracket=4,-0.13619165122509003,26,185.32821345329285,6.9141387939453125e-06
26,True,succ-halv-bracket=4,-0.13619165122509003,27,190.42194843292236,7.867813110351562e-06
27,True,succ-halv-bracket=4,-0.13619165122509003,28,193.61228227615356,7.867813110351562e-06
28,True,succ-halv-bracket=4,-0.13619165122509003,29,201.74545812606812,7.867813110351562e-06
29,True,succ-halv-bracket=4,-0.13619165122509003,30,205.6227400302887,8.821487426757812e-06
30,True,succ-halv-bracket=4,-0.13619165122509003,31,214.47597408294678,8.821487426757812e-06
31,True,succ-halv-bracket=4,-0.13619165122509003,32,228.98244953155518,8.821487426757812e-06
32,True,succ-halv-bracket=4,-0.13619165122509003,33,239.32676887512207,8.821487426757812e-06
33,True,succ-halv-bracket=4,-0.13619165122509003,34,251.28497791290283,9.775161743164062e-06
34,True,succ-halv-bracket=4,-0.13619165122509003,35,256.88025879859924,9.775161743164062e-06
35,True,succ-halv-bracket=4,-0.13619165122509003,36,261.25987792015076,9.775161743164062e-06
36,True,succ-halv-bracket=4,-0.13619165122509003,37,266.13787317276,1.0967254638671875e-05
37,True,succ-halv-bracket=4,-0.13619165122509003,38,270.1101381778717,1.0967254638671875e-05
38,True,succ-halv-bracket=4,-0.13619165122509003,39,280.728232383728,1.0967254638671875e-05
39,True,succ-halv-bracket=4,-0.12953053414821625,40,292.6752223968506,1.0967254638671875e-05
40,True,succ-halv-bracket=4,-0.12953053414821625,41,301.52067399024963,1.1920928955078125e-05
41,True,succ-halv-bracket=4,-0.12953053414821625,42,314.1979250907898,1.1920928955078125e-05
42,True,succ-halv-bracket=4,-0.12953053414821625,43,319.2908103466034,1.1920928955078125e-05
43,True,succ-halv-bracket=4,-0.12953053414821625,44,332.06534147262573,1.1920928955078125e-05
44,True,succ-halv-bracket=4,-0.12953053414821625,45,335.6102156639099,1.2874603271484375e-05
45,True,succ-halv-bracket=4,-0.12953053414821625,46,340.91056847572327,1.2874603271484375e-05
46,True,succ-halv-bracket=4,-0.12953053414821625,47,347.9232325553894,1.2874603271484375e-05
47,True,succ-halv-bracket=4,-0.12953053414821625,48,356.35097455978394,1.2874603271484375e-05
48,True,succ-halv-bracket=4,-0.12953053414821625,49,373.15983843803406,1.4066696166992188e-05
49,True,succ-halv-bracket=4,-0.12953053414821625,50,377.6462392807007,1.4066696166992188e-05
50,True,succ-halv-bracket=4,-0.12953053414821625,51,381.7672452926636,1.4066696166992188e-05
51,True,succ-halv-bracket=4,-0.12953053414821625,52,395.9400599002838,1.4066696166992188e-05
52,True,succ-halv-bracket=4,-0.12953053414821625,53,399.00830483436584,1.4781951904296875e-05
53,True,succ-halv-bracket=4,-0.12953053414821625,54,413.0857229232788,1.4781951904296875e-05
54,True,succ-halv-bracket=4,-0.12953053414821625,55,418.66279792785645,1.4781951904296875e-05
55,True,succ-halv-bracket=4,-0.12953053414821625,56,421.63266587257385,1.5735626220703125e-05
56,True,succ-halv-bracket=4,-0.12953053414821625,57,434.82865691185,1.5735626220703125e-05
57,True,succ-halv-bracket=4,-0.12953053414821625,58,440.33686780929565,1.5735626220703125e-05
58,True,succ-halv-bracket=4,-0.12953053414821625,59,446.0482747554779,1.5735626220703125e-05
59,True,succ-halv-bracket=4,-0.12953053414821625,60,450.42692852020264,1.6689300537109375e-05
60,True,succ-halv-bracket=4,-0.12953053414821625,61,458.53207421302795,1.6689300537109375e-05
61,True,succ-halv-bracket=4,-0.12953053414821625,62,462.4342768192291,1.6689300537109375e-05
62,True,succ-halv-bracket=4,-0.12953053414821625,63,467.4017927646637,1.7881393432617188e-05
63,True,succ-halv-bracket=4,-0.12953053414821625,64,472.09368681907654,1.7881393432617188e-05
64,True,succ-halv-bracket=4,-0.12871724367141724,65,480.97983169555664,1.7881393432617188e-05
65,True,succ-halv-bracket=4,-0.12871724367141724,66,488.80917978286743,1.7881393432617188e-05
66,True,succ-halv-bracket=4,-0.12871724367141724,67,491.8771562576294,1.8835067749023438e-05
