,algorithm,best_score,max_iter,num_models,overhead,partial_fit_calls,patience,time,tol,workers
84,stop_on_plateau,0.7890192506615734,27,13,40.332493415245644,13,10.0,3.93241810798645,0.01,8
85,stop_on_plateau,0.9748069084014621,27,13,33.07593663533529,13,10.0,3.2249038219451904,0.1,8
86,stop_on_plateau,1.2576655251795918,27,13,41.158294677734375,13,20.0,4.012933731079102,0.01,8
87,stop_on_plateau,0.6312228954965641,27,13,38.71343563764523,13,20.0,3.77455997467041,0.1,8
88,stop_on_plateau,0.7933040531785919,27,13,38.74758695944762,13,40.0,3.7778897285461426,0.01,8
89,stop_on_plateau,0.9314896724503954,27,13,38.54662577311198,13,40.0,3.758296012878418,0.1,8
90,stop_on_plateau,1.2889964283510933,27,26,35.52310772431202,26,10.0,6.927006006240845,0.01,8
91,stop_on_plateau,1.2255467467288401,27,26,27.062354943691155,26,10.0,5.277159214019775,0.1,8
92,stop_on_plateau,1.3282382814299343,27,26,37.68285604623648,26,20.0,7.348156929016113,0.01,8
93,stop_on_plateau,1.1007600404991258,27,26,34.68517279013609,26,20.0,6.763608694076538,0.1,8
94,stop_on_plateau,1.258270619533282,27,26,36.72052285610101,26,40.0,7.160501956939697,0.01,8
95,stop_on_plateau,1.2492285282704938,27,26,35.77301074297,26,40.0,6.97573709487915,0.1,8
96,hyperband,1.6816650568727587,81,143,1.5016180388715834,1581,,17.8054358959198,,8
97,hyperband,1.4022756023592076,81,143,1.448543700592794,1581,,17.176106929779053,,8
98,hyperband,1.6291594426028813,81,143,1.4400084260493775,1581,,17.074899911880493,,8
99,hyperband,1.6758551674086744,81,143,1.4690794875394084,1581,,17.419610023498535,,8
100,hyperband,1.5572805645576258,81,143,1.4500549818276605,1581,,17.194026947021484,,8
101,hyperband,1.664847025700704,81,143,1.421011507121566,1581,,16.84964394569397,,8
102,hyperband,1.3466987838875522,81,143,1.4359299050286278,1581,,17.026538848876953,,8
103,hyperband,1.6098037857837477,81,143,1.4584512567811694,1581,,17.293585777282715,,8
104,hyperband,2.0180262350520146,81,143,1.4748489054953928,1581,,17.48802089691162,,8
105,hyperband,1.505561525285486,81,143,1.4645680832304886,1581,,17.366116046905518,,8
106,hyperband,1.5817610867834135,81,143,1.4319838689345237,1581,,16.979748725891113,,8
107,hyperband,1.6256285834294213,81,143,1.478422097759661,1581,,17.53039002418518,,8
108,stop_on_plateau,1.171935484552711,81,19,96.37580503497209,19,10.0,13.73355221748352,0.01,8
109,stop_on_plateau,1.2484722862375421,81,19,44.40184643394069,19,10.0,6.327263116836548,0.1,8
110,stop_on_plateau,1.3982585421793277,81,19,98.12838571113454,19,20.0,13.98329496383667,0.01,8
111,stop_on_plateau,1.5800590981838658,81,19,70.47668590880278,19,20.0,10.042927742004395,0.1,8
112,stop_on_plateau,1.448126710122387,81,19,102.41834908200984,19,40.0,14.594614744186401,0.01,8
113,stop_on_plateau,1.525368859180606,81,19,99.25211688928438,19,40.0,14.143426656723022,0.1,8
114,stop_on_plateau,1.6037143073974764,81,39,96.16794504671016,39,10.0,28.12912392616272,0.01,8
115,stop_on_plateau,1.5015400844862905,81,39,35.526679927467285,39,10.0,10.39155387878418,0.1,8
116,stop_on_plateau,1.194785050246021,81,39,98.34472053071373,39,20.0,28.765830755233765,0.01,8
117,stop_on_plateau,1.3753177803891397,81,39,63.586050832373466,39,20.0,18.59891986846924,0.1,8
118,stop_on_plateau,1.582864508942827,81,39,103.62161000569662,39,40.0,30.30932092666626,0.01,8
119,stop_on_plateau,1.3138033775177,81,39,94.80833884997246,39,40.0,27.731439113616943,0.1,8
120,hyperband,1.7344922666137013,243,143,1.3609027400088165,4743,,48.41071271896362,,8
121,hyperband,1.8023954340387143,243,143,1.3699109107413023,4743,,48.73115587234497,,8
122,hyperband,1.7517843116380676,243,143,1.3637775831593173,4743,,48.512978076934814,,8
123,hyperband,1.671117954930381,243,143,1.38422888055338,4743,,49.24048185348511,,8
124,hyperband,1.582652232142115,243,143,1.3718024351766234,4743,,48.798442125320435,,8
125,hyperband,1.6465924673279224,243,143,1.3692965082914816,4743,,48.70930004119873,,8
126,hyperband,1.8542643374369574,243,143,1.3787660136964452,4743,,49.0461540222168,,8
127,hyperband,1.6275783960428423,243,143,1.36581961508251,4743,,48.58561825752258,,8
128,hyperband,1.5278441473567463,243,143,1.3892649967526844,4743,,49.41962909698486,,8
129,hyperband,1.6637506395738235,243,143,1.347793213422522,4743,,47.944374084472656,,8
130,hyperband,1.583074588834024,243,143,1.3621591048830803,4743,,48.45540475845337,,8
131,hyperband,1.5820333785124752,243,143,1.3895172120749184,4743,,49.428601026535034,,8
132,stop_on_plateau,1.2299453507622777,243,19,192.0270886337548,19,10.0,27.36386013031006,0.01,8
133,stop_on_plateau,1.5411886264558339,243,19,44.23612628066749,19,10.0,6.303647994995117,0.1,8
134,stop_on_plateau,1.3541056110691925,243,19,197.12279303032057,19,20.0,28.08999800682068,0.01,8
135,stop_on_plateau,1.3172113415909554,243,19,81.94755085727625,19,20.0,11.677525997161865,0.1,8
136,stop_on_plateau,1.5541192576388267,243,19,217.4106798673931,19,40.0,30.981021881103516,0.01,8
137,stop_on_plateau,1.5708957554220273,243,19,133.62596578765334,19,40.0,19.0417001247406,0.1,8
138,stop_on_plateau,1.5598355419384942,243,39,142.1349232013409,39,10.0,41.57446503639221,0.01,8
139,stop_on_plateau,1.4133615129165222,243,39,41.15427783411793,39,10.0,12.037626266479492,0.1,8
140,stop_on_plateau,1.4291055907910934,243,39,196.56474855211047,39,20.0,57.49518895149231,0.01,8
141,stop_on_plateau,1.2934969500189184,243,39,78.58299516205095,39,20.0,22.985526084899902,0.1,8
142,stop_on_plateau,1.669134200517934,243,39,215.14083177615436,39,40.0,62.92869329452515,0.01,8
