,alg,best_score_max,best_score_mean,best_score_median,best_score_min,best_score_std,patience,tol,wall_time (min),wall_time (s)
21,hyperband-p20,-0.129619762301445,-0.13533403476079306,-0.12976805865764618,-0.14661428332328796,0.00797657000955787,20,0.0,4.3710072835286455e-08,2.6226043701171875e-06
22,hyperband-p20,-0.129619762301445,-0.13533403476079306,-0.12976805865764618,-0.14661428332328796,0.00797657000955787,20,0.0,4.76837158203125e-08,2.86102294921875e-06
23,hyperband-p20,-0.129619762301445,-0.13533403476079306,-0.12976805865764618,-0.14661428332328796,0.00797657000955787,20,0.0,4.76837158203125e-08,2.86102294921875e-06
24,hyperband-p20,-0.129619762301445,-0.13533403476079306,-0.12976805865764618,-0.14661428332328796,0.00797657000955787,20,0.0,4.76837158203125e-08,2.86102294921875e-06
25,hyperband-p20,-0.129619762301445,-0.13533403476079306,-0.12976805865764618,-0.14661428332328796,0.00797657000955787,20,0.0,5.1657358805338543e-08,3.0994415283203125e-06
26,hyperband-p20,-0.129619762301445,-0.13533403476079306,-0.12976805865764618,-0.14661428332328796,0.00797657000955787,20,0.0,5.1657358805338543e-08,3.0994415283203125e-06
27,hyperband-p20,-0.129619762301445,-0.13533403476079306,-0.12976805865764618,-0.14661428332328796,0.00797657000955787,20,0.0,5.5631001790364584e-08,3.337860107421875e-06
28,hyperband-p20,-0.129619762301445,-0.13533403476079306,-0.12976805865764618,-0.14661428332328796,0.00797657000955787,20,0.0,5.5631001790364584e-08,3.337860107421875e-06
29,hyperband-p20,-0.12582096457481384,-0.13401833673318228,-0.129619762301445,-0.14661428332328796,0.009040690199225609,20,0.0,5.960464477539063e-08,3.5762786865234375e-06
30,hyperband-p20,-0.12582096457481384,-0.13401833673318228,-0.129619762301445,-0.14661428332328796,0.009040690199225609,20,0.0,5.960464477539063e-08,3.5762786865234375e-06
31,hyperband-p20,-0.12582096457481384,-0.13401833673318228,-0.129619762301445,-0.14661428332328796,0.009040690199225609,20,0.0,6.357828776041667e-08,3.814697265625e-06
32,hyperband-p20,-0.12582096457481384,-0.13401833673318228,-0.129619762301445,-0.14661428332328796,0.009040690199225609,20,0.0,6.357828776041667e-08,3.814697265625e-06
33,hyperband-p20,-0.12582096457481384,-0.13401833673318228,-0.129619762301445,-0.14661428332328796,0.009040690199225609,20,0.0,7.152557373046875e-08,4.291534423828125e-06
