,adaptive,alg,base_alg,best_score,cumulative_partial_fit_calls,model_id,patience,patience_,repeat,tol,train_time,wall_time
41,False,hyperband-p20,hyperband,-0.11950141191482544,42,bracket=3-13,20,p=20,0,0.0,345.91786313056946,42.14802575111389
42,False,hyperband-p20,hyperband,-0.11950141191482544,43,bracket=3-14,20,p=20,0,0.0,354.72784328460693,42.14802598953247
43,False,hyperband-p20,hyperband,-0.11950141191482544,44,bracket=3-15,20,p=20,0,0.0,362.0830078125,42.14802598953247
44,False,hyperband-p20,hyperband,-0.11950141191482544,45,bracket=3-16,20,p=20,0,0.0,368.76593804359436,42.14802622795105
45,False,hyperband-p20,hyperband,-0.11950141191482544,46,bracket=3-17,20,p=20,0,0.0,376.023845911026,42.14802622795105
46,False,hyperband-p20,hyperband,-0.11950141191482544,47,bracket=3-18,20,p=20,0,0.0,391.842408657074,42.14802646636963
47,False,hyperband-p20,hyperband,-0.11950141191482544,48,bracket=3-19,20,p=20,0,0.0,399.86391139030457,42.14802646636963
48,False,hyperband-p20,hyperband,-0.11950141191482544,49,bracket=3-20,20,p=20,0,0.0,409.93012022972107,42.14802694320679
49,False,hyperband-p20,hyperband,-0.11950141191482544,50,bracket=3-21,20,p=20,0,0.0,416.3620181083679,42.148027181625366
50,False,hyperband-p20,hyperband,-0.11950141191482544,51,bracket=3-22,20,p=20,0,0.0,426.58198380470276,42.148027420043945
51,False,hyperband-p20,hyperband,-0.11950141191482544,52,bracket=3-23,20,p=20,0,0.0,433.5879783630371,42.148027420043945
52,False,hyperband-p20,hyperband,-0.11950141191482544,53,bracket=3-24,20,p=20,0,0.0,443.19861364364624,42.148027658462524
53,False,hyperband-p20,hyperband,-0.11950141191482544,54,bracket=3-25,20,p=20,0,0.0,448.7797031402588,42.1480278968811
54,False,hyperband-p20,hyperband,-0.11950141191482544,55,bracket=3-26,20,p=20,0,0.0,456.80592226982117,42.1480278968811
55,False,hyperband-p20,hyperband,-0.11950141191482544,56,bracket=3-27,20,p=20,0,0.0,463.90216851234436,42.14802813529968
56,False,hyperband-p20,hyperband,-0.11950141191482544,57,bracket=3-28,20,p=20,0,0.0,470.1837749481201,42.14802813529968
57,False,hyperband-p20,hyperband,-0.11950141191482544,58,bracket=3-29,20,p=20,0,0.0,480.76467752456665,42.14802861213684
58,False,hyperband-p20,hyperband,-0.11950141191482544,59,bracket=3-30,20,p=20,0,0.0,493.7560908794403,42.148029088974
59,False,hyperband-p20,hyperband,-0.11950141191482544,60,bracket=3-31,20,p=20,0,0.0,504.61970925331116,42.148029088974
60,False,hyperband-p20,hyperband,-0.11950141191482544,61,bracket=3-32,20,p=20,0,0.0,511.72763299942017,42.14802932739258
61,False,hyperband-p20,hyperband,-0.11950141191482544,62,bracket=3-33,20,p=20,0,0.0,519.8404910564423,42.14802932739258
62,False,hyperband-p20,hyperband,-0.11950141191482544,63,bracket=4-0,20,p=20,0,0.0,528.1740963459015,59.61572289466858
63,False,hyperband-p20,hyperband,-0.11950141191482544,64,bracket=4-1,20,p=20,0,0.0,533.6561005115509,59.615723848342896
64,False,hyperband-p20,hyperband,-0.11950141191482544,65,bracket=4-2,20,p=20,0,0.0,541.1962676048279,59.615724086761475
65,False,hyperband-p20,hyperband,-0.11950141191482544,66,bracket=4-3,20,p=20,0,0.0,547.2650904655457,59.615724325180054
66,False,hyperband-p20,hyperband,-0.11950141191482544,67,bracket=4-4,20,p=20,0,0.0,553.444436788559,59.615724325180054
67,False,hyperband-p20,hyperband,-0.11950141191482544,68,bracket=4-5,20,p=20,0,0.0,563.8056936264038,59.61572456359863
68,False,hyperband-p20,hyperband,-0.11950141191482544,69,bracket=4-6,20,p=20,0,0.0,570.6664900779724,59.61572480201721
69,False,hyperband-p20,hyperband,-0.11950141191482544,70,bracket=4-7,20,p=20,0,0.0,576.9273729324341,59.61572504043579
70,False,hyperband-p20,hyperband,-0.11950141191482544,71,bracket=4-8,20,p=20,0,0.0,587.0521535873413,59.61572527885437
71,False,hyperband-p20,hyperband,-0.11950141191482544,72,bracket=4-9,20,p=20,0,0.0,593.2482285499573,59.61572527885437
72,False,hyperband-p20,hyperband,-0.11950141191482544,73,bracket=4-10,20,p=20,0,0.0,603.0792443752289,59.61572575569153
73,False,hyperband-p20,hyperband,-0.11950141191482544,74,bracket=4-11,20,p=20,0,0.0,610.1461343765259,59.61572575569153
74,False,hyperband-p20,hyperband,-0.11950141191482544,75,bracket=4-12,20,p=20,0,0.0,616.7863578796387,59.61572623252869
75,False,hyperband-p20,hyperband,-0.11950141191482544,76,bracket=4-13,20,p=20,0,0.0,625.1216607093811,59.61572623252869
76,False,hyperband-p20,hyperband,-0.11950141191482544,77,bracket=4-14,20,p=20,0,0.0,631.1782014369965,59.615726470947266
77,False,hyperband-p20,hyperband,-0.11950141191482544,78,bracket=4-15,20,p=20,0,0.0,638.8591456413269,59.615726709365845
78,False,hyperband-p20,hyperband,-0.11950141191482544,79,bracket=4-16,20,p=20,0,0.0,646.6751599311829,59.615726947784424
79,False,hyperband-p20,hyperband,-0.11950141191482544,80,bracket=4-17,20,p=20,0,0.0,663.8273048400879,59.615727186203
80,False,hyperband-p20,hyperband,-0.11950141191482544,81,bracket=4-18,20,p=20,0,0.0,671.4262931346893,59.61572742462158
81,False,hyperband-p20,hyperband,-0.11950141191482544,82,bracket=4-19,20,p=20,0,0.0,681.968169927597,59.61572742462158
82,False,hyperband-p20,hyperband,-0.11950141191482544,83,bracket=4-20,20,p=20,0,0.0,695.240291595459,59.61572766304016
83,False,hyperband-p20,hyperband,-0.11950141191482544,84,bracket=4-21,20,p=20,0,0.0,703.7436010837555,59.61572790145874
84,False,hyperband-p20,hyperband,-0.11950141191482544,85,bracket=4-22,20,p=20,0,0.0,713.6831679344177,59.61572813987732
85,False,hyperband-p20,hyperband,-0.11950141191482544,86,bracket=4-23,20,p=20,0,0.0,722.0733151435852,59.61572813987732
86,False,hyperband-p20,hyperband,-0.11950141191482544,87,bracket=4-24,20,p=20,0,0.0,736.3448143005371,59.6157283782959
87,False,hyperband-p20,hyperband,-0.11950141191482544,88,bracket=4-25,20,p=20,0,0.0,749.3192846775055,59.61572861671448
88,False,hyperband-p20,hyperband,-0.11950141191482544,89,bracket=4-26,20,p=20,0,0.0,756.8415069580078,59.61572861671448
89,False,hyperband-p20,hyperband,-0.11950141191482544,90,bracket=4-27,20,p=20,0,0.0,762.7978682518005,59.615729093551636
90,False,hyperband-p20,hyperband,-0.11738704144954681,91,bracket=4-28,20,p=20,0,0.0,772.6515829563141,59.615729331970215
91,False,hyperband-p20,hyperband,-0.11738704144954681,92,bracket=4-29,20,p=20,0,0.0,778.7480220794678,59.615729570388794
92,False,hyperband-p20,hyperband,-0.11738704144954681,93,bracket=4-30,20,p=20,0,0.0,787.0494296550751,59.61572980880737
93,False,hyperband-p20,hyperband,-0.11738704144954681,94,bracket=4-31,20,p=20,0,0.0,793.1902470588684,59.61572980880737
94,False,hyperband-p20,hyperband,-0.11738704144954681,95,bracket=4-32,20,p=20,0,0.0,799.7704334259033,59.61573004722595
95,False,hyperband-p20,hyperband,-0.11738704144954681,96,bracket=4-33,20,p=20,0,0.0,810.3606700897217,59.61573028564453
96,False,hyperband-p20,hyperband,-0.11738704144954681,97,bracket=4-34,20,p=20,0,0.0,819.0835881233215,59.61573052406311
97,False,hyperband-p20,hyperband,-0.11738704144954681,98,bracket=4-35,20,p=20,0,0.0,825.3178913593292,59.61573052406311
98,False,hyperband-p20,hyperband,-0.11738704144954681,99,bracket=4-36,20,p=20,0,0.0,835.1259667873383,59.61573076248169
99,False,hyperband-p20,hyperband,-0.11738704144954681,100,bracket=4-37,20,p=20,0,0.0,842.7686386108398,59.61573100090027
100,False,hyperband-p20,hyperband,-0.11738704144954681,101,bracket=4-38,20,p=20,0,0.0,850.9322199821472,59.61573100090027
101,False,hyperband-p20,hyperband,-0.11738704144954681,102,bracket=4-39,20,p=20,0,0.0,859.6112146377563,59.61573123931885
102,False,hyperband-p20,hyperband,-0.11738704144954681,103,bracket=4-40,20,p=20,0,0.0,865.7375974655151,59.615731716156006
103,False,hyperband-p20,hyperband,-0.11738704144954681,104,bracket=4-41,20,p=20,0,0.0,879.0733633041382,59.615731716156006
104,False,hyperband-p20,hyperband,-0.11738704144954681,105,bracket=4-42,20,p=20,0,0.0,891.3351593017578,59.615731954574585
105,False,hyperband-p20,hyperband,-0.11738704144954681,106,bracket=4-43,20,p=20,0,0.0,899.7690572738647,59.615731954574585
106,False,hyperband-p20,hyperband,-0.11738704144954681,107,bracket=4-44,20,p=20,0,0.0,907.835865020752,59.615732192993164
107,False,hyperband-p20,hyperband,-0.11738704144954681,108,bracket=4-45,20,p=20,0,0.0,913.7270002365112,59.61573266983032
108,False,hyperband-p20,hyperband,-0.11738704144954681,109,bracket=4-46,20,p=20,0,0.0,921.6952197551727,59.61573266983032
109,False,hyperband-p20,hyperband,-0.11738704144954681,110,bracket=4-47,20,p=20,0,0.0,928.1904108524323,59.61573314666748
110,False,hyperband-p20,hyperband,-0.11738704144954681,111,bracket=4-48,20,p=20,0,0.0,934.0720903873444,59.61573314666748
111,False,hyperband-p20,hyperband,-0.11738704144954681,112,bracket=4-49,20,p=20,0,0.0,949.572562456131,59.61573338508606
112,False,hyperband-p20,hyperband,-0.11738704144954681,113,bracket=4-50,20,p=20,0,0.0,959.7116768360138,59.61573338508606
113,False,hyperband-p20,hyperband,-0.11738704144954681,114,bracket=4-51,20,p=20,0,0.0,971.1054444313049,59.61573362350464
114,False,hyperband-p20,hyperband,-0.11738704144954681,115,bracket=4-52,20,p=20,0,0.0,989.4123620986938,59.61573362350464
115,False,hyperband-p20,hyperband,-0.11738704144954681,116,bracket=4-53,20,p=20,0,0.0,998.7380449771881,59.61573386192322
116,False,hyperband-p20,hyperband,-0.11738704144954681,117,bracket=4-54,20,p=20,0,0.0,1009.3488698005676,59.6157341003418
117,False,hyperband-p20,hyperband,-0.11738704144954681,118,bracket=4-55,20,p=20,0,0.0,1016.9665079116821,59.615734338760376
118,False,hyperband-p20,hyperband,-0.11738704144954681,119,bracket=4-56,20,p=20,0,0.0,1029.0664463043213,59.615734577178955
119,False,hyperband-p20,hyperband,-0.11738704144954681,120,bracket=4-57,20,p=20,0,0.0,1035.6240260601044,59.615734577178955
120,False,hyperband-p20,hyperband,-0.11738704144954681,121,bracket=4-58,20,p=20,0,0.0,1042.7106671333313,59.61573505401611
