,algorithm,best_score,max_iter,num_models,overhead,partial_fit_calls,patience,repeat,time,tol,workers
217,hyperband,0.04976396950341143,27,49,6.381433310628939,357,25,1,4.746191024780273,0.1,48
218,stop_on_plateau,0.06427718733371314,81,19,78.11488904451068,19,25,1,3.092047691345215,0.1,48
219,hyperband,0.12481168478880514,81,143,3.5653842151504307,1581,25,1,11.743484258651733,0.1,48
220,stop_on_plateau,0.050566333194698956,243,19,78.99974019903884,19,25,1,3.127073049545288,0.1,48
221,hyperband,0.26538060680741954,243,143,3.267667433794807,4743,25,1,32.28863883018494,0.1,48
222,stop_on_plateau,0.04274903034431209,9,7,96.86201095581055,7,25,1,1.2107751369476318,0.1,56
223,hyperband,0.04873837076304986,9,17,20.81728534422059,69,25,1,2.5649869441986084,0.1,56
224,stop_on_plateau,0.07693344005880973,27,13,133.93903145423303,13,25,1,3.1092989444732666,0.1,56
225,hyperband,0.04710406943039588,27,49,7.890575633329503,357,25,1,5.030241966247559,0.1,56
226,stop_on_plateau,0.07153684544498787,81,19,98.73536360891241,19,25,1,3.349949836730957,0.1,56
227,hyperband,0.11331057455917429,81,143,4.098592585660776,1581,25,1,11.571205139160156,0.1,56
228,stop_on_plateau,0.0694295681751981,243,19,92.01490201448138,19,25,1,3.121934175491333,0.1,56
229,hyperband,0.25894619511367467,243,143,3.681975426413504,4743,25,1,31.185016870498657,0.1,56
230,stop_on_plateau,0.050671319573729647,9,7,112.09134783063615,7,25,1,1.225999116897583,0.1,64
231,hyperband,0.045120818141528365,9,17,25.311146611752715,69,25,1,2.72885799407959,0.1,64
232,stop_on_plateau,0.06991566653564188,27,13,151.21166522686298,13,25,1,3.0714869499206543,0.1,64
233,hyperband,0.04585497158028482,27,49,9.058536561597295,357,25,1,5.052964925765991,0.1,64
234,stop_on_plateau,0.08144489522625253,81,19,113.74767102693255,19,25,1,3.3768839836120605,0.1,64
235,hyperband,0.09871970419356062,81,143,4.621034799535993,1581,25,1,11.41540002822876,0.1,64
236,stop_on_plateau,0.04953749789461143,243,19,107.41817273591694,19,25,1,3.188977003097534,0.1,64
237,hyperband,0.27242943901526295,243,143,4.167127550942672,4743,25,1,30.88232183456421,0.1,64
238,stop_on_plateau,0.041689700856024046,9,7,15.762664249965121,7,25,2,1.3792331218719482,0.1,8
239,hyperband,0.048742510693211026,9,17,3.7340382562167402,69,25,2,3.2206079959869385,0.1,8
240,stop_on_plateau,0.0556123841816316,27,13,32.02902720524715,13,25,2,5.204716920852661,0.1,8
241,hyperband,0.0698060440412733,27,49,1.7212764088179215,357,25,2,7.681195974349976,0.1,8
242,stop_on_plateau,0.0632136510044754,81,19,31.157321929931637,19,25,2,7.399863958358765,0.1,8
243,hyperband,0.1519387179108103,81,143,1.147809230700691,1581,25,2,22.683579921722412,0.1,8
244,stop_on_plateau,0.07723824101668911,243,19,30.534029508891855,19,25,2,7.251832008361816,0.1,8
245,hyperband,0.28964020396489487,243,143,1.2929277502482586,4743,25,2,76.65445399284363,0.1,8
246,stop_on_plateau,0.039937889008802234,9,7,27.786718096051896,7,25,2,1.2156689167022705,0.1,16
247,hyperband,0.04532647005232977,9,17,5.7963407212409415,69,25,2,2.4996719360351562,0.1,16
248,stop_on_plateau,0.05710345047966053,27,13,38.585023146409256,13,25,2,3.135033130645752,0.1,16
249,hyperband,0.08674828302670338,27,49,2.4717539298434215,357,25,2,5.515100955963135,0.1,16
