,Unnamed: 0,algorithm,best_score,max_iter,num_models,overhead,partial_fit_calls,patience,time,tol,workers
606,606.0,hyperband,1.3676514806153417,81,143,2.64214184523986,1581,,7.83229923248291,,32
607,607.0,hyperband,1.4863077388303338,81,143,2.564984908115002,1581,,7.603577136993407,,32
608,608.0,hyperband,1.5936827046260944,81,143,2.662864104368856,1581,,7.893727779388428,,32
609,609.0,hyperband,1.7545530042334427,81,143,2.6656542300876374,1581,,7.90199875831604,,32
610,610.0,hyperband,1.3486428359931966,81,143,2.5711895216624745,1581,,7.621969938278197,,32
611,611.0,hyperband,1.7115495488283692,81,143,2.6509581149039128,1581,,7.858433961868286,,32
612,612.0,stop_on_plateau,1.5968886281313266,81,19,178.45891985976903,19,10.0,6.3575990200042725,0.01,32
613,613.0,stop_on_plateau,1.3116116948305112,81,19,116.62669934724508,19,10.0,4.1548261642456055,0.1,32
614,614.0,stop_on_plateau,1.6801179535082489,81,19,178.33038463927156,19,20.0,6.353019952774048,0.01,32
615,615.0,stop_on_plateau,1.214922523514253,81,19,187.90391620836758,19,20.0,6.694077014923097,0.1,32
616,616.0,stop_on_plateau,1.6110038952195462,81,19,177.60375842713475,19,40.0,6.327133893966675,0.01,32
617,617.0,stop_on_plateau,1.2094767081527793,81,19,185.6944234747636,19,40.0,6.615363836288452,0.1,32
618,618.0,stop_on_plateau,1.5574948183224089,81,39,140.97775190304492,39,10.0,10.308998107910156,0.01,32
619,619.0,stop_on_plateau,1.2755537726492256,81,39,63.22395781166534,39,10.0,4.623251914978027,0.1,32
620,620.0,stop_on_plateau,1.4701913272531115,81,39,141.7389959351629,39,20.0,10.364664077758787,0.01,32
621,621.0,stop_on_plateau,1.4968355489456144,81,39,108.04931118957,39,20.0,7.901105880737305,0.1,32
622,622.0,stop_on_plateau,1.3375684869333448,81,39,155.80643873948318,39,40.0,11.393345832824707,0.01,32
623,623.0,stop_on_plateau,1.5385138891388603,81,39,139.89024366069046,39,40.0,10.229474067687988,0.1,32
624,624.0,hyperband,1.5915996474240075,243,143,2.5121991385880067,4743,,22.34130096435547,,32
625,625.0,hyperband,1.5432655959643409,243,143,2.4514716996422092,4743,,21.801244258880615,,32
626,626.0,hyperband,1.6250698406771995,243,143,2.437247857331007,4743,,21.674749851226807,,32
627,627.0,hyperband,1.4939492645001902,243,143,2.4582403811527764,4743,,21.861438989639282,,32
628,628.0,hyperband,1.5569830496350552,243,143,2.4986048325842853,4743,,22.220405101776123,,32
629,629.0,hyperband,1.6764260908335098,243,143,2.436238111334714,4743,,21.665770053863525,,32
630,630.0,hyperband,1.506276215298331,243,143,2.4653868058952835,4743,,21.92499303817749,,32
631,631.0,hyperband,1.4817574128879432,243,143,2.459733579505461,4743,,21.874718189239502,,32
632,632.0,hyperband,1.5041420371690033,243,143,2.4816313734275077,4743,,22.0694580078125,,32
633,633.0,hyperband,1.7493243860718062,243,143,2.443601986421739,4743,,21.731257915496826,,32
634,634.0,hyperband,1.650331608323542,243,143,2.4607558186420007,4743,,21.883809089660645,,32
635,635.0,hyperband,1.7191879518875293,243,143,2.4428952929090406,4743,,21.72497320175171,,32
636,636.0,stop_on_plateau,1.391268981519116,243,19,532.4003386915776,19,10.0,18.966762065887448,0.01,32
637,637.0,stop_on_plateau,1.0404084255991164,243,19,114.78197198165093,19,10.0,4.0891077518463135,0.1,32
638,638.0,stop_on_plateau,1.2252228175272797,243,19,532.9315319395903,19,20.0,18.985685825347897,0.01,32
639,639.0,stop_on_plateau,1.3081508626494502,243,19,246.7354690819456,19,20.0,8.789951086044313,0.1,32
640,640.0,stop_on_plateau,1.388359378496559,243,19,537.3465822454085,19,40.0,19.14297199249268,0.01,32
641,641.0,stop_on_plateau,1.4695219102016117,243,19,360.0744950143914,19,40.0,12.827653884887695,0.1,32
642,642.0,stop_on_plateau,1.4455424365233769,243,39,302.35373994224096,39,10.0,22.109617233276367,0.01,32
643,643.0,stop_on_plateau,1.3105067475010508,243,39,68.44469054132446,39,10.0,5.0050179958343515,0.1,32
644,644.0,stop_on_plateau,1.3549774777742678,243,39,321.07919220231537,39,20.0,23.478915929794308,0.01,32
645,645.0,stop_on_plateau,1.299188791372627,243,39,153.97024236173712,39,20.0,11.259073972702026,0.1,32
646,646.0,stop_on_plateau,1.6478653064603193,243,39,338.24797410231366,39,40.0,24.73438310623169,0.01,32
647,647.0,stop_on_plateau,1.6172666536851996,243,39,235.91055258726465,39,40.0,17.250959157943726,0.1,32
648,648.0,hyperband,1.2718727873787634,27,49,11.983839047500513,357,,4.010841131210326,,64
649,649.0,hyperband,1.0772642444878855,27,49,7.268633873634091,357,,2.432720899581909,,64
650,650.0,hyperband,1.215626656372897,27,49,7.347743785014006,357,,2.459197998046875,,64
651,651.0,hyperband,1.079890974563685,27,49,8.688400795702396,357,,2.907899141311645,,64
652,652.0,hyperband,1.2888421266953825,27,49,7.280365047223317,357,,2.4366471767425537,,64
653,653.0,hyperband,1.4217505084880506,27,49,7.2391734403722445,357,,2.422860860824585,,64
654,654.0,hyperband,1.3392614536588625,27,49,7.433757906645732,357,,2.487985849380493,,64
655,655.0,hyperband,1.2376111302948836,27,49,7.925676475831218,357,,2.6526248455047607,,64
656,656.0,hyperband,1.2777597249381132,27,49,7.331588844847835,357,,2.4537911415100098,,64
